"_id","enterpriseId","name","abbreviation","address","timeZone","unitOfMeasurement","emailAddress","webSiteUrl","phone","fax","brandId","locationStatus","createdBy","createdOn","modifiedBy","modifiedOn","recordStatus"
"aa091ef4-e52d-4f49-92a7-0c1bccaae4c9","749bdbf2-ad37-4cc3-9216-8f3f17e5607b","Data Retention Test","ThisIsTheNewAbrev","{""city"":""Portsmouth"",""countryCode"":""US"",""countryName"":""United States"",""latitude"":43.0837654,""longitude"":-70.80967249999999,""masteredAddress"":""75 New Hampshire Ave, Portsmouth, NH 03801, USA"",""masteredId"":""gpa_ChIJ8d0ez9-_4okRizgA_XyPdog"",""postalCode"":""03801"",""stateOrProvinceName"":""New Hampshire"",""streetAddress"":""75 New Hampshire Ave"",""type"":0}","EST","Metric","hotelier@BPHotels.com","http://spacejam.com","(603)-123-4567","(603)-123-4568","BP Inc",2,"{""id"":""08d7b165-81f8-1079-ceca-92858c000001"",""name"":""Hospitality AUTHENTICATION_PROVIDER""}","1990-04-29T13:22:23.551Z","{""id"":""08d7b165-81f8-1079-ceca-92858c000001"",""name"":""Hospitality AUTHENTICATION_PROVIDER""}","2021-04-29T13:22:23.551Z",1
"08d9cee2-7994-da9c-3b04-df0e1000003c","256bf880-7b9a-425b-9f74-11bdfb375d88","CreateLocationTest","CRT","{""city"":""Portsmouth"",""countryCode"":""US"",""countryName"":""United States"",""latitude"":43.0837654,""longitude"":-70.80967249999999,""masteredAddress"":""75 New Hampshire Ave, Portsmouth, NH 03801, USA"",""masteredId"":""gpa_ChIJ8d0ez9-_4okRizgA_XyPdog"",""postalCode"":""03801"",""stateOrProvinceName"":""New Hampshire"",""streetAddress"":""75 New Hampshire Ave"",""type"":0}","EST","Metric","hotelier@BPHotels.com","http://spacejam.com","(603)-123-4567","(603)-123-4568","BP Inc",2,"{""id"":""28c32f39-c344-482a-9256-961759256f6e"",""name"":""IT-COL-0349 Amadeus""}","2022-01-03T17:57:14.736Z","{""id"":""28c32f39-c344-482a-9256-961759256f6e"",""name"":""IT-COL-0349 Amadeus""}","2022-01-03T17:57:14.736Z",1
"08d9cee1-d02d-c316-3b04-df0e10000033","8f463203-0780-477d-a1c4-1a68b2ded14f","IntegrationTestLocation","CRT","{""city"":""Portsmouth"",""countryCode"":""US"",""countryName"":""United States"",""latitude"":43.0837654,""longitude"":-70.80967249999999,""masteredAddress"":""75 New Hampshire Ave, Portsmouth, NH 03801, USA"",""masteredId"":""gpa_ChIJ8d0ez9-_4okRizgA_XyPdog"",""postalCode"":""03801"",""stateOrProvinceName"":""New Hampshire"",""streetAddress"":""75 New Hampshire Ave"",""type"":0}","EST","Metric","hotelier@BPHotels.com","http://spacejam.com","(603)-123-4567","(603)-123-4568","BP Inc",2,"{""id"":""1b9b0b6e-c947-498c-a9d5-521b3baf2679"",""name"":""IT-COL-0349 Amadeus""}","2022-01-03T17:52:30.525Z","{""id"":""1b9b0b6e-c947-498c-a9d5-521b3baf2679"",""name"":""IT-COL-0349 Amadeus""}","2022-01-03T17:52:30.525Z",1
"08d9cee1-ac12-fd8b-3b04-df0e10000031","08d7ab2e-867c-35bc-fdd0-300001000001","IntegrationTestLocation","CRT","{""city"":""Portsmouth"",""countryCode"":""US"",""countryName"":""United States"",""latitude"":43.0837654,""longitude"":-70.80967249999999,""masteredAddress"":""75 New Hampshire Ave, Portsmouth, NH 03801, USA"",""masteredId"":""gpa_ChIJ8d0ez9-_4okRizgA_XyPdog"",""postalCode"":""03801"",""stateOrProvinceName"":""New Hampshire"",""streetAddress"":""75 New Hampshire Ave"",""type"":0}","EST","Metric","hotelier@BPHotels.com","http://spacejam.com","(603)-123-4567","(603)-123-4568","BP Inc",2,"{""id"":""6a2ea1fb-ad15-4de6-82e7-029632014b0d"",""name"":""IT-COL-0349 Amadeus""}","2022-01-03T17:51:29.952Z","{""id"":""7f491850-5356-4ce3-95f5-1b5f0220921c"",""name"":""IT-COL-0349 Amadeus""}","2022-01-03T17:51:40.585Z",4
"08d9cee1-7146-f657-3b04-df0e1000002e","6771bf54-b621-422e-838d-144568a6f31f","CreateLocationTest","CRT","{""city"":""Portsmouth"",""countryCode"":""US"",""countryName"":""United States"",""latitude"":43.0837654,""longitude"":-70.80967249999999,""masteredAddress"":""75 New Hampshire Ave, Portsmouth, NH 03801, USA"",""masteredId"":""gpa_ChIJ8d0ez9-_4okRizgA_XyPdog"",""postalCode"":""03801"",""stateOrProvinceName"":""New Hampshire"",""streetAddress"":""75 New Hampshire Ave"",""type"":0}","EST","Metric","hotelier@BPHotels.com","http://spacejam.com","(603)-123-4567","(603)-123-4568","BP Inc",2,"{""id"":""740b8490-c6b9-419b-a749-e47de67cfadb"",""name"":""IT-COL-0349 Amadeus""}","2022-01-03T17:49:51.307Z","{""id"":""740b8490-c6b9-419b-a749-e47de67cfadb"",""name"":""IT-COL-0349 Amadeus""}","2022-01-03T17:49:51.307Z",1
"08d9cedf-7c61-66a7-3b04-df0e10000019","b271cf62-f6a5-4cc3-adf6-5fee0627babe","CreateLocationTest","CRT","{""city"":""Portsmouth"",""countryCode"":""US"",""countryName"":""United States"",""latitude"":43.0837654,""longitude"":-70.80967249999999,""masteredAddress"":""75 New Hampshire Ave, Portsmouth, NH 03801, USA"",""masteredId"":""gpa_ChIJ8d0ez9-_4okRizgA_XyPdog"",""postalCode"":""03801"",""stateOrProvinceName"":""New Hampshire"",""streetAddress"":""75 New Hampshire Ave"",""type"":0}","EST","Metric","hotelier@BPHotels.com","http://spacejam.com","(603)-123-4567","(603)-123-4568","BP Inc",2,"{""id"":""1d01a992-4282-4068-bafb-8e7be6c8652a"",""name"":""IT-COL-0349 Amadeus""}","2022-01-03T17:35:50.942Z","{""id"":""1d01a992-4282-4068-bafb-8e7be6c8652a"",""name"":""IT-COL-0349 Amadeus""}","2022-01-03T17:35:50.942Z",1
"08d9cede-f1ac-1d70-3b04-df0e10000011","0550d4a4-ee1b-426b-aafb-370ad19ea7cc","IntegrationTestLocation","CRT","{""city"":""Portsmouth"",""countryCode"":""US"",""countryName"":""United States"",""latitude"":43.0837654,""longitude"":-70.80967249999999,""masteredAddress"":""75 New Hampshire Ave, Portsmouth, NH 03801, USA"",""masteredId"":""gpa_ChIJ8d0ez9-_4okRizgA_XyPdog"",""postalCode"":""03801"",""stateOrProvinceName"":""New Hampshire"",""streetAddress"":""75 New Hampshire Ave"",""type"":0}","EST","Metric","hotelier@BPHotels.com","http://spacejam.com","(603)-123-4567","(603)-123-4568","BP Inc",2,"{""id"":""6a027d89-9945-427b-b1f8-e5de04b12c80"",""name"":""IT-COL-0349 Amadeus""}","2022-01-03T17:31:58.228Z","{""id"":""6a027d89-9945-427b-b1f8-e5de04b12c80"",""name"":""IT-COL-0349 Amadeus""}","2022-01-03T17:31:58.228Z",1
"08d9cede-8ac0-b531-3b04-df0e1000000c","1453cc41-0307-4eb6-b20e-d0ab9153e7d0","CreateLocationTest","CRT","{""city"":""Portsmouth"",""countryCode"":""US"",""countryName"":""United States"",""latitude"":43.0837654,""longitude"":-70.80967249999999,""masteredAddress"":""75 New Hampshire Ave, Portsmouth, NH 03801, USA"",""masteredId"":""gpa_ChIJ8d0ez9-_4okRizgA_XyPdog"",""postalCode"":""03801"",""stateOrProvinceName"":""New Hampshire"",""streetAddress"":""75 New Hampshire Ave"",""type"":0}","EST","Metric","hotelier@BPHotels.com","http://spacejam.com","(603)-123-4567","(603)-123-4568","BP Inc",2,"{""id"":""91304428-1e74-4abe-be10-97ad42b4c007"",""name"":""IT-COL-0349 Amadeus""}","2022-01-03T17:29:05.558Z","{""id"":""91304428-1e74-4abe-be10-97ad42b4c007"",""name"":""IT-COL-0349 Amadeus""}","2022-01-03T17:29:05.558Z",1
"08d9cbed-785b-b7b8-3b04-dfb37800001e","08d7ab2e-867c-35bc-fdd0-300001000001","IntegrationTestLocation","CRT","{""city"":""Portsmouth"",""countryCode"":""US"",""countryName"":""United States"",""latitude"":43.0837654,""longitude"":-70.80967249999999,""masteredAddress"":""75 New Hampshire Ave, Portsmouth, NH 03801, USA"",""masteredId"":""gpa_ChIJ8d0ez9-_4okRizgA_XyPdog"",""postalCode"":""03801"",""stateOrProvinceName"":""New Hampshire"",""streetAddress"":""75 New Hampshire Ave"",""type"":0}","EST","Metric","hotelier@BPHotels.com","http://spacejam.com","(603)-123-4567","(603)-123-4568","BP Inc",2,"{""id"":""7df75248-0fbf-4dea-83a2-76d0fa79e821"",""name"":""IT-COL-0349 Amadeus""}","2021-12-30T23:38:23.660Z","{""id"":""7df75248-0fbf-4dea-83a2-76d0fa79e821"",""name"":""IT-COL-0349 Amadeus""}","2021-12-30T23:38:23.660Z",1
"08d9cbed-4a45-7042-3b04-dfb37800001d","08d7ab2e-867c-35bc-fdd0-300001000001","IntegrationTestLocation","CRT","{""city"":""Portsmouth"",""countryCode"":""US"",""countryName"":""United States"",""latitude"":43.0837654,""longitude"":-70.80967249999999,""masteredAddress"":""75 New Hampshire Ave, Portsmouth, NH 03801, USA"",""masteredId"":""gpa_ChIJ8d0ez9-_4okRizgA_XyPdog"",""postalCode"":""03801"",""stateOrProvinceName"":""New Hampshire"",""streetAddress"":""75 New Hampshire Ave"",""type"":0}","EST","Metric","hotelier@BPHotels.com","http://spacejam.com","(603)-123-4567","(603)-123-4568","BP Inc",2,"{""id"":""74a1b7fd-8f30-4db2-9c9a-ade75a0faca7"",""name"":""IT-COL-0349 Amadeus""}","2021-12-30T23:37:06.338Z","{""id"":""74a1b7fd-8f30-4db2-9c9a-ade75a0faca7"",""name"":""IT-COL-0349 Amadeus""}","2021-12-30T23:37:06.338Z",1
